up_code,up_name_omie,legal_entity,ownership_pct,unit_type_omie,zone_omie,technology_omie,omie_page
CEVD501,FV. VALDECARRET,AS,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD502,FV. GUADAJOZ HIV,E,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD503,FV. VILLAMAÑÁN,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD504,FV. ATALAYA,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD505,FV. GUZMÁN I,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD506,FV. LAS CORONAD,AS HIVE,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD507,FV. BURRIANA 1,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD508,FV. BURRIANA 2,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD509,FV. DON RODRIGO,HIVE,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD510,FV. CAMPOS DEL R,IO,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD511,FV. EL PEDRERO,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD512,FV. MIRABUENA,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CILCOR,C. I. DE LA CORUÑA,,REPSOL FUELS SA,,, 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,22
CLIDV02,FV OURIKA,,CLIDOMER UNIPES,SOAL LDA,, 100 GENERACION ZONA PORTUGUESA RE Tarifa CU R (uof),22
CLIVD01,UNIDAD OFERTA TA,RIFA,HOLALUZ-CLIDOM,SA,, 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CLIVD05,FOTOVOLTAICA TIP,O 10,HOLALUZ-CLIDOM,SA,, 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CLIVD48,CLIVD48,,HOLALUZ-CLIDOM,SA,, 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CLIVD49,CLIVD49,,HOLALUZ-CLIDOM,SA,, 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CLIVD50,CLIVD50,,HOLALUZ-CLIDOM,SA,, 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CLIVD54,CLIVD54,,HOLALUZ-CLIDOM,SA,, 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CLIVD58,CLIVD58,,HOLALUZ-CLIDOM,SA,, 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CLIVD65,CLIVD65,,HOLALUZ-CLIDOM,SA,, 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CLIVD73,CLIVD73,,HOLALUZ-CLIDOM,SA,, 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CLIVD74,CLIVD74,,,,,HOLALUZ-CLIDOM SA    100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fo tovoltáica,23
CLIVD75,CLIVD75,,,,,HOLALUZ-CLIDOM SA    100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fo tovoltáica,23
CLIVD77,CLIVD77,,,,,HOLALUZ-CLIDOM SA    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
CNCRE01,VENTA EX,CED,ENT,ES FV,,CONECTA2 ENERG IA S L   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fo tovoltáica,23
CNCRE02,FV MAYOR,1M,W,,,CONECTA2 ENERG IA S L   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fo tovoltáica,23
COF1,C.N. COFR,ENT,ES,,,IBERDROLA ENER GÍA ESPAÑA S..A.  100 GENERACION ZONA ESPAÑOLA Nuclear  ,23
COGEVD3,VENTA AE,VD1,,,,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGEVD4,VENTA AE,CO,GEN,ERACION,,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGEVD5,VENTA AE,CO,GEN,ERACION,3,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGEVD6,VENTA AE,CO,GEN,ERACION,4,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGEVD7,VENTA AE,CO,GEN,ERACION,5,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGEVD8,VENTA AE,CO,GEN,ERACION,,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD10,VENTA AE,CO,GEN,ERACION,10,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD11,VENTA AE,CO,GEN,ERACION,11,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD12,VENTA AE,CO,GEN,ERACION,12,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD13,VENTA AE,CO,GEN,ERACION,13,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD14,VENTA AE,CO,GEN,ERACION,14,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD15,VENTA AE,CO,GEN,ERACION,15,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD16,VENTA AE,CO,GEN,ERACION,16,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD17,VENTA AE,CO,GEN,ERACION,17,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD18,VENTA AE,CO,GEN,ERACION,18,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD19,VENTA AE,CO,GEN,ERACION,19,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica Renovable,23
COGVD20,VENTA AE,CO,GEN,ERACION,20,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD21,VENTA AE,CO,GEN,ERACION,21,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD22,VENTA AE,CO,GEN,ERACION,22,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD24,VENTA AE,CO,GEN,ERACION,24,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COGVD25,VENTA AE,CO,GEN,ERACION,25,ENERGY BY COGE N    100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no,23
COG75RR,COG75RR,,,,,"REPSOL SERVICIO S R ENOVAB LES, S.A. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica no",23
COL4,C.C. COLÓ,N 4,,,,"ENDESA GENERAC IÓN , S.A.   100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado ",23
CTGN1,C.C. CART,AGE,NA,1,,GAS NATURAL CO MER CIALIZA DORA  100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado ,23
CTGN2,C.C. CART,AGE,NA,2,,GAS NATURAL CO MER CIALIZA DORA  100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado ,23
