codigo_de_uf,codigo_eic,descripcion_corta,descripcion_larga,tipo_de_produccion,vinculacion_con_sm,vinculacion_con_up,potencia_maxima_mw
TALASOL,18W000000000JQVE,TALASOL,TALASOL SOLAR PV,Solar fotovoltaica,EGLE,FTASOL,"243,9"
TALAVE,18W000000000JLVT,TALAVE,TALAVE,Embalse,CEG,HYTLAVE,"5,2"
TALAVER,18WTALAVER-12-AJ,TALAVER,TALAVER,Fluyente,ASIE,HFASIE,"2,8"
TALAYA,18W000000000UJO5,TALAYA,TALAYA,Solar fotovoltaica,CEG,FTALAYA,"1,2"
TALAYAS,18W000000000T25O,TALAYAS,PE LAS ATALAYAS,Eólica terrestre,EGLE,EPRADA4,"49,5"
TALAYEL,18W000000000PWSF,TALAYLAS2,TALAYUELA2,Solar fotovoltaica,GESTE,FTALYEL,"44,0"
TALAYU,18W000000000JVZS,TALAYU,PFV TALAYUELA SOLAR,Solar fotovoltaica,EGLE,FGENIA,"250,0"
TALEC01,18W0000000004VYG,TALARN_UP,TALARN_UNIDAD_PROGRAMACION,Comercializadores mercado libre,TALEN,TALEC01,"0,2"
TALEGA,18W000000000ROCQ,TALEGA,TALEGA,Solar fotovoltaica,CEG,FTALEGA,"1,6"
TALGC01,18W000000000PRRW,TALGC01,TALGC01,Consumos directos en mercado,TALGA,TALGC01,"0,5"
TALIA1,18W000000000TH4I,TALIA1,TALIA1,Solar fotovoltaica,ATENC,FTALIA1,"5,1"
TALIA2,18W000000000TH5G,TALIA2,TALIA2,Solar fotovoltaica,ATENC,FTALIA2,"7,8"
TALLAT,18WTALLAT-1234-C,TALLAT,P.E. SERRA DEL TALLAT,Eólica terrestre,EGED,EGREEN1,"49,5"
TALLI,18WTALLI-12345-0,TALLI,P.E. LA TALLISCA,Eólica terrestre,IBGES,EHIBGES,"40,0"
TAM1,18WTAM1-12345-AM,TAMBRE 1,TAMBRE 1 (TAMBRE I G1),Embalse,GNFG,UFGC,"4,2"
TAM2,18WTAM2-12345-AC,TAMBRE 2,TAMBRE 2 (TAMBRE I G2),Embalse,GNFG,UFGC,"4,3"
TAM3,18WTAM3-12345-A2,TAMBRE 3,TAMBRE 3 (TAMBRE I G3),Embalse,GNFG,UFGC,"4,3"
TAM4,18WTAM4-12345-AT,TAMBRE 4 ,TAMBRE 4 (TAMBRE I G4),Embalse,GNFG,UFGC,"10,3"
TAM5,18WTAM5-12345-AJ,TAMBRE 5,TAMBRE 5 (TAMBRE II G1),Embalse,GNFG,UFGC,"62,7"
TAN1,18WTAN1-12345-F1,TANES 1G,TANES GR.1 GENERAC.,Embalse,HC G,HCHI,"62,3"
TAN1B,18WTAN1B-12345-J,TANES 1B,TANES GR.1 BOMBEO,Consumo bombeo,HC G,TANB,"55,0"
