uf_code,uf_name,up_code,subject_code,technology_esios
LAURUS,LAURUS,FABLITA,NEXU,Solar fotovoltaica
LAV1,LAVIANA 1,HCHI,HC G,Fluyente
LAV2,LAVIANA 2,HCHI,HC G,Fluyente
LAV3,LAVIANA 3,HCHI,HC G,Fluyente
LAVAC01,LA VALL,LAVAC01,LAVAL,Comercializadores mercado libre
LAVEGA1,LAVEGA1,EGASNE1,GNCO,Eólica terrestre
LAVEGA2,LAVEGA2,EGASNE1,GNCO,Eólica terrestre
LAVERNE,LAVERNE,HLAVERN,EGLE,Fluyente
LAVINYA,LA VINYA,SENFV1,SOMEN,Solar fotovoltaica
LAYNA,LAYNA,EHIBGES,IBGES,Eólica terrestre
LAZAN,LAZAN,EHIBGES,IBGES,Eólica terrestre
LAZAR,LAZAR,EGREEN,EGED,Eólica terrestre
LBANEZA,LBANEZA,TAZUCAR,EGLE,Gas natural cogeneración
LBAT,BATANEJOS,LBAT,BARER,Fluyente
LBTSP,LBTSP,LOBOH,GNRA,Solar fotovoltaica
LCA1,CANTOS 1,HDXT01,DUFER,Fluyente
LCA2,CANTOS 2,HDXT01,DUFER,Fluyente
LCASTRO,LCASTRO,HCASTRO,GNRA,Fluyente
LCOCB,LCOCB,FVGNRA,GNRA,Solar fotovoltaica
LCOSC01,LCOSC01,LCOSC01,LCOST,Comercializadores mercado libre
LDGIC01,LDGIA,LDGIC01,LDGIA,Comercializadores mercado libre
LDO1,DORNAJOS 1,BERJUCA,BARER,Fluyente
LDO2,DORNAJOS 2,BERJUCA,BARER,Fluyente
LDOFW,LDOFW,FVGNRA,GNRA,Solar fotovoltaica
LEB1,LEBOREIR 1,UFGC,GNFG,Embalse
LEB2,LEBOREIR 2,UFGC,GNFG,Embalse
LEBAIKO,LEBAIKO,FLEAIKO,NEXU,Solar fotovoltaica
LEBOREI,LEBOREI,EEGPEM,ECYR,Eólica terrestre
LEBRETE,LEBRETE,RCULEBR,GNRA,Biogás
LEBRIJA,LEBRIJA,STSOLUC,NEXU,Solar térmica
LECRIN,LECRIN,ERIANSA,EBLCO,Eólica terrestre
LEDCC01,LCE COMPRA,LEDCC01,LEDCE,Comercializadores mercado libre
LEGAC01,ELEGA UP,LEGAC01,ELEGA,Comercializadores mercado libre
LEI1,LEIZA 1,EBRA,IBEG,Fluyente
LEI2,LEIZA 2,EBRA,IBEG,Fluyente
LEIRA,LEIRA,HLEIRA,NEXU,Fluyente
LEONC01,LECOMUP,LEONC01,LEONC,Comercializadores mercado libre
LERC01,LERC01,LERC01,LER,Comercializadores mercado libre
LERIN,LERIN,HFEGED,EGED,Fluyente
LESROTE,LESROTE,ELESROT,EBLCO,Eólica terrestre
LEYREN2,LEYREN2,FLEMAZR,NEXU,Solar fotovoltaica
LEYRENE,LEYRENE,FLENOEZ,NEXU,Solar fotovoltaica
LEZ1,LEIZARAN,EBRA,IBEG,Fluyente
LFA1,FAYOS 1,EBRA,IBEG,Fluyente
LFA2,FAYOS 2,EBRA,IBEG,Fluyente
LFAESP,LFAESP,ENDER01,ENDCO,Comercializadores mercado libre
LFLECHA,LFLECHA,HVADOC,EGLE,Fluyente
LFUE,FUENROSAR,DUER,IBEG,Fluyente
LG08MC,LG08MC,FORTR01,FORTI,Comercializadores mercado libre
LG08VL,LG08VL,FORTR01,FORTI,Comercializadores mercado libre
LGA1,GVILANES 1,ASITAJ,ASIE,Fluyente
LGA2,GVILANES 2,ASITAJ,ASIE,Fluyente
LGOS,GOSALVEZ,BERJUCA,BARER,Fluyente
LGR1,LGR1,JUCAR2,CTNU,Fluyente
LGR2,LGR2,JUCAR2,CTNU,Fluyente
LGUIJO1,LGUIJO1,ELGUIJ1,EBLCO,Eólica terrestre
LGUIJO2,LGUIJO2,ELGUIJ1,EBLCO,Eólica terrestre
LHID,LA HIDRO,EBRACC1,ENDG,Fluyente
LIDEC01,LIDEC01,LIDEC01,LIDER,Comercializadores mercado libre
LIDEV01,LIDEV01,LIDEV01,LIDER,Solar fotovoltaica
LILL,LES ILLES,EBRFEN,ENDG,Fluyente
LIMSAM,LIMSAM,RRUICES,NEXU,Biogás
LIN1,LINARES 1,UFTA,GNFG,Embalse
LIN2,LINARES 2,UFTA,GNFG,Embalse
LINARES,LINARES,HLOURG,EGLE,Fluyente
LINASA,LINASA,COGLINA,DETIC,Gas natural cogeneración
LINAZAR,LINAZAR,LINAR01,LINAM,Consumos directos en mercado
LIND01,LIND01,ENDER01,ENDCO,Comercializadores mercado libre
LINERA,LINERA,EHIBGES,IBGES,Eólica terrestre
LINGOT,LINGOT,ENDER01,ENDCO,Comercializadores mercado libre
LINKC01,UPLINKPEN,LINKC01,LINKE,Comercializadores mercado libre
LIPMES,LIPMES,FFRSPRA,RSPRA,Solar fotovoltaica
LIRIOS,LIRIOS,EHIBGES,IBGES,Eólica terrestre
LISOLAR,LISOLAR,FCASTU,EGLE,Solar fotovoltaica
LITTC,LITTC,UPLIT,GNRA,Solar fotovoltaica
LIUPC01,LIUP,LIUPC01,LIUP,Comercializadores mercado libre
LLAD,LLADRES,EBRFEN,ENDG,Fluyente
LLANO,LLANO,TCUALIN,CEG,Gas natural cogeneración
LLANO1,LLANO1,FLLANO1,CEG,Solar fotovoltaica
LLANO2,LLANO2,FLLANO2,CEG,Solar fotovoltaica
