codigo_de_up,descripcion_corta,descripcion_larga,codigo_eic,tipo_de_produccion,negocio,ambito_de_actuacion,zona_de_regulacion,tipo_de_up,sujeto_del_mercado,potencia_maxima_mw
UPDROS,UPDROS,UPDROS,18W000000000R74J,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"25,0"
UPDULCI,LA DEHESIC,PE LA DEHESICA,18W000000000Q2WJ,Eólica terrestre,Venta,España,IGS ,Generación,IGNIS,"28,5"
UPEBRCT,UP EBROCT,UP EBRO CT,18W000000000V7DM,Eólica terrestre,Venta,España,SZR,Generación,IGNIS,"49,5"
UPEBRO,MOL EBRO,UP MOLINOS DEL EBRO SA,18W000000000QG8P,Eólica terrestre,Venta,España,SZR,Generación,IGNIS,"274,4"
UPEBROH,UPEBROHIBR,UP EBRO HIBRIDADA,18W000000000TGE1,Híbrida renovable,Venta,España,SZR,Unidades hibridas,IGNIS,"59,7"
UPEIDE,UPEIDEN,UP FV EIDEN,18W000000000VFIP,Solar fotovoltaica,Venta,España,SZR,Generación,IGNIS,"32,3"
UPEJO,UPEJO,UPEJO,18W000000000T0LZ,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"8,0"
UPELM,UPELM,UPELM,18W000000000V5WR,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"1,1"
UPELVIS,ELVISA,UP FV ELVISA,18W000000000QPHH,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"40,8"
UPEMA,UPEMA,UPEMA,18W000000000UXVN,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"1,2"
UPENA,UPENA,UPENA,18W000000000UXWL,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"1,4"
UPENE01,UP ENER 01,UP ENER 01,18W000000000S5C5,Solar fotovoltaica,Venta,España,SZR,Generación,EFG,"4,8"
UPENE02,UP ENER 02,UP ENER 02,18W000000000S5D3,Solar fotovoltaica,Venta,España,SZR,Generación,EFG,"4,8"
UPENE03,UPENE03,ES-UPENE03,18W000000000SKHO,Solar fotovoltaica,Venta,España,SZR,Generación,EFG,"4,1"
UPERES,UP ERESMA,UP ERESMA SOLAR,18W000000000SW4E,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"44,0"
UPERI,UPERI,UPERI,18W000000000S6A6,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"5,0"
UPESC1,ESCUDEROSI,UP FV ESCUDEROS I,18W000000000RDRT,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"44,3"
UPESC2,ESCUDEROS2,ELAWAN FOTOVOLTAICA ESCUDEROS 2 SL,18W000000000RMES,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"43,3"
UPESC3,ESCUDEROS ,ELAWAN FOTOVOLTAICA ESCUDEROS 3 SL,18W000000000RMFQ,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"44,3"
